title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"State of Play",movie,"Crime, Drama, Mystery",2009,tt0473705,7.1,162513,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"17 Again",movie,"Comedy, Drama, Fantasy",2009,tt0974661,6.4,220463,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, US, UY, VE"
"Fire & Ice: The Dragon Chronicles",movie,"Adventure, Drama, Fantasy",2008,tt1135493,4.3,2748,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Obsessed,movie,"Drama, Romance, Thriller",2009,tt1198138,5,34756,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Fighting,movie,"Action, Crime, Drama",2009,tt1082601,5.6,34488,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Victory,movie,"Drama, Sport, War",1981,tt0083284,6.6,33926,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Green Lantern: First Flight",movie,"Action, Adventure, Animation",2009,tt1384590,7,17942,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Year One",movie,Comedy,2009,tt1045778,4.9,105010,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"District 9",movie,"Action, Sci-Fi, Thriller",2009,tt1136608,7.9,726406,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, GT, GY, HN, JM, LC, MX, NI, NO, PA, PE, PY, SE, SV, TC, TT, UY, VE"
"Scooby-Doo and the Witch's Ghost",movie,"Animation, Comedy, Family",1999,tt0196931,7.3,9965,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, US, UY, VE"
"Deep Sea",movie,"Documentary, Short",2006,tt0424942,7.5,1855,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Hush,movie,"Drama, Thriller",1998,tt0118744,5.5,13519,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Elementary School",movie,"Adventure, Comedy, Drama",1991,tt0102571,7.7,3297,"CZ, SK"
"An American Girl: Chrissa Stands Strong",movie,"Comedy, Drama, Family",2009,tt1340418,6.1,1131,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PY, RO, RS, SE, SI, SK, SV, TC, TT, UY, VE"
"Like Water for Chocolate",movie,"Drama, Romance",1992,tt0103994,7.1,19236,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Taking of Pelham 123",movie,"Action, Crime, Thriller",2009,tt1111422,6.4,210422,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Gamer,movie,"Action, Sci-Fi, Thriller",2009,tt1034032,5.7,140697,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Free Willy 3: The Rescue",movie,"Adventure, Drama, Family",1997,tt0119152,4.7,10923,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Hangover",movie,Comedy,2009,tt1119646,7.7,865570,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, US, UY, VE"
